"","artist","on_board"
"585","Madeline Bell",1
"586","Magic Lanterns",1
"587","Major Lance",9
"588","Mama Cass",3
"589","Mama Cass Elliot",1
"590","Mama Cass With The Mamas & The Papas",1
"591","Manfred Mann",6
"592","Manny Kellem - His Orchestra And Voices",1
"593","Margaret Whiting",2
"594","Marianne Faithfull",5
"595","Mark Lindsay",2
"596","Marlena Shaw",1
"597","Martha & The Vandellas",13
"598","Martha Reeves & The Vandellas",6
"599","Marty Robbins",1
"600","Marva Whitney",1
"601","Marvin Gaye",17
"602","Marvin Gaye & Kim Weston",2
"603","Marvin Gaye & Mary Wells",2
"604","Marvin Gaye & Tammi Terrell",9
"605","Mary Hopkin",2
"606","Mary Wells",12
"607","Mason Williams",4
"608","Matt Monro",1
"609","Max Frost And The Troopers",1
"610","Maxine Brown",6
"611","MC5",1
"612","Mel And Tim",1
"613","Mel Carter",6
"614","Mercy",2
"615","Merle Haggard And The Strangers",1
"616","Merrilee Rush",1
"617","Merrilee Rush & The Turnabouts",2
"618","Michele Lee",1
"619","Mickey Lee Lane",1
"620","Mickey Murray",1
"621","Micky Dolenz",1
"622","Mike Douglas",1
"623","Mike Sharpe",1
"624","Mike Williams",1
"625","Millie Small",2
"626","Miriam Makeba",2
"627","Mitch Ryder",4
"628","Mitch Ryder And The Detroit Wheels",7
"629","Mitty Collier",3
"630","Moby Grape",1
"631","Moms Mabley",1
"632","Mongo Santamaria",3
"633","Motherlode",1
"634","Mrs. Miller",2
"635","Murry Kellum",1
"636","Nancy Ames",2
"637","Nancy Sinatra",16
"638","Nancy Sinatra & Frank Sinatra",1
"639","Nancy Sinatra & Lee Hazlewood",3
"640","Nancy Sinatra with Lee Hazlewood",1
"641","Nancy Wilson",7
"642","Napoleon XIV",1
"643","Nat King Cole",6
"644","Nazz",1
"645","Neal Hefti",1
"646","Ned Miller",1
"647","Neil Diamond",15
"648","Neil Sedaka",4
"649","Nella Dodds",2
"650","New Colony Six",3
"651","Nick DeCaro",1
"652","Nilsson",2
"653","Nina Simone",3
"654","Nino Tempo & April Stevens",6
"655","Noel Harrison",2
"656","Norma Tanega",1
"657","O.C. Smith",6
"658","O.V. Wright",2
"659","Ohio Express",9
"660","Ola & The Janglers",1
"661","Oliver",3
"662","Ollie & The Nightingales",1
"663","Orpheus",2
"664","Oscar Toney, Jr.",4
"665","Otis & Carla",3
"666","Otis Clay",1
"667","Otis Leavill",1
"668","Otis Redding",24
"669","P.F. Sloan",1
"670","P.J. Proby",3
"671","Pat Boone",3
"672","Patti Drew",3
"673","Patti LaBelle And The Blue Belles",4
"674","Patti Page",4
"675","Patty & The Emblems",1
"676","Patty Duke",4
"677","Paul Anka",4
"678","Paul Mauriat",1
"679","Paul Mauriat And His Orchestra",2
"680","Paul Peek",1
"681","Paul Petersen",1
"682","Paul Revere & The Raiders",3
"683","Paul Revere & The Raiders Featuring Mark Lindsay",13
"684","Paul Vance",1
"685","Peaches & Herb",10
"686","Peggy Lee",2
"687","Peggy Scott & Jo Jo Benson",4
"688","People",1
"689","Peppermint Rainbow",1
"690","Percy Sledge",13
"691","Perry Como",5
"692","Pete Drake And His Talking Steel Guitar",1
"693","Pete Seeger",1
"694","Peter And Gordon",14
"695","Peter Sarstedt",1
"696","Peter, Paul & Mary",12
"697","Petula Clark",19
"698","Phyllis McGuire",1
"699","Pieces Of Eight",1
"700","Piero Umiliani",1
"701","Pigmeat Markham",1
"702","Plastic Ono Band",2
"703","Porter Wagoner",1
"704","Pozo Seco Singers",6
"705","Pretty Purdie",1
"706","Prince Buster",1
"707","Procol Harum",2
"708","Professor Morrison's Lollipop",1
"709","Quicksilver Messenger Service",1
"710","R.B. Greaves",1
"711","Radiants",2
"712","Ramsey Lewis",8
"713","Ramsey Lewis Trio",5
"714","Ray Bryant",1
"715","Ray Charles",22
"716","Ray Charles & Jimmy Lewis",1
"717","Ray Charles & The Raelets",1
"718","Ray Charles and his Orchestra",6
"719","Ray Conniff And The Singers",2
"720","Ray Peterson",1
"721","Ray Price",1
"722","Ray Stevens",6
"723","Raymond Lefevre and His Orchestra",1
"724","Red Skelton",1
"725","Red Sovine",1
"726","Rejoice!",1
"727","Rene & Rene",2
"728","Reparata And The Delrons",2
"729","Rev. Martin Luther King, Jr.",1
"730","Rhinoceros",1
"731","Ricardo Ray",1
"732","Richard And The Young Lions",1
"733","Richard Burton",1
"734","Richard Chamberlain",1
