,artist,rank,song,stay,week
258,Ginny Arnell,59,Dumb Head,12,1964-01-18
259,Betty Everett,60,You're No Good,10,1964-01-18
260,Brooks O'Dell,61,Watch Your Step,9,1964-01-18
261,Murry Kellum,62,Long Tall Texan,11,1964-01-18
262,Bob And Earl,63,Harlem Shuffle,11,1964-01-18
263,The Marvelettes,64,As Long As I Know He's Mine,13,1964-01-18
264,Sammy Davis Jr.,65,The Shelter Of Your Arms,17,1964-01-18
265,Patti LaBelle And The Blue Belles,66,You'll Never Walk Alone,8,1964-01-18
266,Anna King,67,If Somebody Told You,6,1964-01-18
267,The Raindrops,68,That Boy John,8,1964-01-18
268,Burl Ives,69,True Love Goes On And On,6,1964-01-18
269,Otis Redding,70,Pain In My Heart,11,1964-01-18
270,Barbara Lewis,71,Snap Your Fingers,5,1964-01-18
271,Fats Domino,72,Who Cares,5,1964-01-18
272,Gloria Lynne,73,I Wish You Love,12,1964-01-18
273,The Shirelles,74,Tonight You're Gonna Fall In Love With Me,5,1964-01-18
274,Jimmy Velvet,75,We Belong Together,7,1964-01-18
275,Frank Ifield,76,Please,6,1964-01-18
276,The Crescents Featuring Chiyo,77,Pink Dominos,10,1964-01-18
277,Little Johnny Taylor,78,Since I Found A New Love,4,1964-01-18
278,The Exciters,79,Do-Wah-Diddy,4,1964-01-18
279,Bobby Goldsboro,80,See The Funny Little Clown,13,1964-01-18
280,Barbara Lewis,81,Puppy Love,12,1964-01-18
281,Tommy Roe,82,Come On,8,1964-01-18
282,Jay & The Americans,83,Come Dance With Me,8,1964-01-18
283,The Dixiebelles,84,"Southtown, U.S.A.",8,1964-01-18
284,Lloyd Price,85,Billie Baby,3,1964-01-18
285,Pete Seeger,86,Little Boxes,8,1964-01-18
286,Gene Pitney,87,That Girl Belongs To Yesterday,7,1964-01-18
287,Frank Sinatra,88,Stay With Me,3,1964-01-18
288,The Angels,89,Wow Wow Wee (He's The Boy For Me),7,1964-01-18
289,Clyde McPhatter,90,Deep In The Heart Of Harlem,5,1964-01-18
290,Betty Harris,91,His Kiss,4,1964-01-18
291,Lefty Frizzell,92,"Saginaw, Michigan",5,1964-01-18
292,Santo & Johnny,93,I'll Remember (In The Still Of The Night),7,1964-01-18
293,Hank Jacobs,94,So Far Away,3,1964-01-18
294,Johnny Crawford,95,Judy Loves Me,3,1964-01-18
295,The Pixies Three,96,442 Glenwood Avenue,7,1964-01-18
296,Jim and Monica,97,Slipin' And Slidin',2,1964-01-18
297,Tracey Dey,98,Here Comes The Boy,3,1964-01-18
298,The Sapphires,99,Who Do You Love,12,1964-01-18
299,Andy Williams,100,Charade,1,1964-01-18
300,Bobby Vinton,1,There! I've Said It Again,13,1964-01-25
301,The Kingsmen,2,Louie Louie,18,1964-01-25
302,The Beatles,3,I Want To Hold Your Hand,15,1964-01-25
303,The Trashmen,4,Surfin' Bird,13,1964-01-25
304,The Murmaids,5,Popsicles And Icicles,14,1964-01-25
305,The Marketts,6,Out Of Limits,14,1964-01-25
306,The Rip Chords,7,Hey Little Cobra,14,1964-01-25
307,Bobby Rydell,8,Forget Him,16,1964-01-25
308,Major Lance,9,"Um, Um, Um, Um, Um, Um",11,1964-01-25
309,Jan & Dean,10,Drag City,11,1964-01-25
310,Nino Tempo & April Stevens,11,Whispering,9,1964-01-25
311,Brenda Lee,12,As Usual,11,1964-01-25
312,Lesley Gore,13,You Don't Own Me,13,1964-01-25
313,Rick Nelson,14,For You,11,1964-01-25
314,The Singing Nun (Soeur Sourire),15,Dominique,13,1964-01-25
315,Dionne Warwick,16,Anyone Who Had A Heart,14,1964-01-25
316,Shirley Ellis,17,The Nitty Gritty,14,1964-01-25
317,Jimmy Gilmer And The Fireballs,18,Daisy Petal Pickin',11,1964-01-25
318,Lenny Welch,19,Since I Fell For You,16,1964-01-25
319,Ray Charles,20,That Lucky Old Sun,9,1964-01-25
320,The Tymes,21,Somewhere,11,1964-01-25
321,Martha & The Vandellas,22,Quicksand,12,1964-01-25
322,Joey Powers,23,Midnight Mary,13,1964-01-25
323,The Supremes,24,When The Lovelight Starts Shining Through His Eyes,11,1964-01-25
324,The Impressions,25,Talking About My Baby,9,1964-01-25
325,The Ronettes,26,"Baby, I Love You",9,1964-01-25
326,Chubby Checker,27,Hooka Tooka,14,1964-01-25
327,Jack Jones,28,Wives And Lovers,14,1964-01-25
328,Johnny Tillotson,29,Talk Back Trembling Lips,13,1964-01-25
329,Andy Williams,30,A Fool Never Learns,10,1964-01-25
330,The Caravelles,31,You Don't Have To Be A Baby To Cry,13,1964-01-25
