,artist,rank,song,stay,week
23333,Jerry Butler,34,Never Give You Up,14,1968-06-22
23334,Dionne Warwick,35,Do You Know The Way To San JosÃÂ©,12,1968-06-22
23335,Stevie Wonder,36,Shoo-Be-Doo-Be-Doo-Da-Day,13,1968-06-22
23336,Tom Jones,37,Delilah,15,1968-06-22
23337,Eric Burdon & The Animals,38,Sky Pilot (Part One),14,1968-06-22
23338,The Association,39,Time For Livin',8,1968-06-22
23339,Nancy Wilson,40,"Face It Girl, It's Over",14,1968-06-22
23340,The Intruders,41,Cowboys To Girls,14,1968-06-22
23341,Four Tops,42,If I Were A Carpenter,10,1968-06-22
23342,The New Colony Six,43,I Will Always Think About You,13,1968-06-22
23343,Johnny Cash,44,Folsom Prison Blues,12,1968-06-22
23344,Diana Ross & The Supremes,45,Some Things You Never Get Used To,7,1968-06-22
23345,Peaches & Herb,46,United,8,1968-06-22
23346,Smokey Robinson & The Miracles,47,Yester Love,8,1968-06-22
23347,Sam & Dave,48,You Don't Know What You Mean To Me,8,1968-06-22
23348,Robert John,49,If You Don't Want My Love,12,1968-06-22
23349,Gladys Knight And The Pips,50,It Should Have Been Me,8,1968-06-22
23350,Los Bravos,51,Bring A Little Lovin',7,1968-06-22
23351,Glen Campbell,52,I Wanna Live,12,1968-06-22
23352,The Status Quo,53,Pictures Of Matchstick Men,17,1968-06-22
23353,The Monkees,54,It's Nice To Be With You,7,1968-06-22
23354,The Mamas & The Papas,55,Safe In My Garden,6,1968-06-22
23355,The Vogues,56,"Turn Around, Look At Me",15,1968-06-22
23356,Bobby Taylor & The Vancouvers,57,Does Your Mama Know About Me,10,1968-06-22
23357,The Delfonics,58,I'm Sorry,9,1968-06-22
23358,Peggy Scott & Jo Jo Benson,59,Lover's Holiday,12,1968-06-22
23359,The Magistrates,60,Here Come The Judge,7,1968-06-22
23360,James Brown And The Famous Flames,61,America Is My Home - Pt. 1,7,1968-06-22
23361,Aretha Franklin,62,You Send Me,6,1968-06-22
23362,Pigmeat Markham,63,Here Comes The Judge,8,1968-06-22
23363,The Marvelettes,64,Here I Am Baby,9,1968-06-22
23364,Ray Charles,65,Eleanor Rigby,10,1968-06-22
23365,Mary Wells,66,The Doctor,8,1968-06-22
23366,The New Colony Six,67,Can't You See Me Cry,8,1968-06-22
23367,Ronnie Dove,68,Mountain Of Love,6,1968-06-22
23368,The Buckinghams,69,Back In Love Again,6,1968-06-22
23369,Etta James,70,I Got You Babe,7,1968-06-22
23370,Arthur Conley,71,People Sure Act Funny,5,1968-06-22
23371,The Turtles,72,The Story Of Rock And Roll,6,1968-06-22
23372,The Mills Brothers,73,My Shy Violet,7,1968-06-22
23373,Eddy Arnold,74,It's Over,7,1968-06-22
23374,Andy Williams,75,Sweet Memories,6,1968-06-22
23375,Donovan,76,Hurdy Gurdy Man,12,1968-06-22
23376,Paul Revere & The Raiders Featuring Mark Lindsay,77,Don't Take It So Hard,9,1968-06-22
23377,Dionne Warwick,78,Let Me Be Lonely,5,1968-06-22
23378,Ray Charles,79,Understanding,12,1968-06-22
23379,The Tams,80,"Be Young, Be Foolish, Be Happy",6,1968-06-22
23380,The Peppermint Trolley Company,81,Baby You Come Rollin' Across My Mind,10,1968-06-22
23381,Solomon Burke,82,I Wish I Knew (How It Would Feel To Be Free),8,1968-06-22
23382,King Curtis & The Kingpins,83,Valley Of The Dolls,2,1968-06-22
23383,Eddie Harris,84,Listen Here,13,1968-06-22
23384,Bill Black's Combo,85,Turn On Your Love Light,6,1968-06-22
23385,Radiants,86,Hold On,9,1968-06-22
23386,The Show Stoppers,87,Ain't Nothin' But A House Party,5,1968-06-22
23387,The Buena Vistas,88,Here Come Da Judge,4,1968-06-22
23388,Tammy Wynette,89,D-I-V-O-R-C-E,6,1968-06-22
23389,The Irish Rovers,90,(The Puppet Song) Whiskey On A Sunday,7,1968-06-22
23390,Barbara Greene,91,Young Boy,6,1968-06-22
23391,Elvis Presley With The Jordanaires,92,"Your Time Hasn't Come Yet, Baby",7,1968-06-22
23392,Mason Williams,93,Classical Gas,14,1968-06-22
23393,Elvis Presley With The Jordanaires,94,Let Yourself Go,5,1968-06-22
23394,Wilson Pickett,95,I'm A Midnight Mover,7,1968-06-22
23395,B.J. Thomas,96,The Eyes Of A New York Woman,14,1968-06-22
23396,Gary Lewis And The Playboys,97,Sealed With A Kiss,14,1968-06-22
23397,Martha Reeves & The Vandellas,98,Forget Me Not,3,1968-06-22
23398,Cliff Richard,99,Congratulations,3,1968-06-22
23399,The Cryan' Shames,100,Young Birds Fly,2,1968-06-22
23400,Herb Alpert,1,This Guy's In Love With You,14,1968-06-29
23401,Cliff Nobles & Co.,2,The Horse,14,1968-06-29
23402,Richard Harris,3,MacArthur Park,13,1968-06-29
23403,Ohio Express,4,Yummy Yummy Yummy,14,1968-06-29
23404,Sergio Mendes & Brasil '66,5,The Look Of Love,14,1968-06-29
23405,Tommy James And The Shondells,6,Mony Mony,17,1968-06-29
23406,Merrilee Rush & The Turnabouts,7,Angel Of The Morning,16,1968-06-29
23407,Aretha Franklin,8,Think,10,1968-06-29
23408,Shorty Long,9,Here Comes The Judge,11,1968-06-29
23409,Friend And Lover,10,Reach Out Of The Darkness,14,1968-06-29
23410,The Rolling Stones,11,Jumpin' Jack Flash,12,1968-06-29
23411,Simon & Garfunkel,12,Mrs. Robinson,13,1968-06-29
23412,Hugh Masekela,13,Grazing In The Grass,12,1968-06-29
23413,James Brown And The Famous Flames,14,Licking Stick - Licking Stick (Part 1),8,1968-06-29
23414,Gary Puckett And The Union Gap,15,Lady Willpower,13,1968-06-29
23415,People,16,I Love You,18,1968-06-29
23416,Tiny Tim,17,Tip-Toe Thru' The Tulips With Me,9,1968-06-29
23417,The Cowsills,18,Indian Lake,13,1968-06-29
23418,The 5th Dimension,19,Stoned Soul Picnic,16,1968-06-29
23419,The Temptations,20,I Could Never Love Another (After Loving You),10,1968-06-29
23420,Andy Kim,21,How'd We Ever Get This Way,12,1968-06-29
23421,Gene Pitney,22,She's A Heartbreaker,13,1968-06-29
23422,Marvin Gaye & Tammi Terrell,23,Ain't Nothing Like The Real Thing,13,1968-06-29
23423,"Hugo Montenegro, His Orchestra And Chorus",24,"The Good, The Bad And The Ugly",22,1968-06-29
23424,Joe Simon,25,(You Keep Me) Hangin' On,15,1968-06-29
23425,The Box Tops,26,Choo Choo Train,8,1968-06-29
23426,The Rascals,27,A Beautiful Morning,13,1968-06-29
23427,Archie Bell & The Drells,28,Tighten Up,15,1968-06-29
23428,The Monkees,29,D. W. Washburn,7,1968-06-29
23429,Jerry Butler,30,Never Give You Up,14,1968-06-29
23430,Engelbert Humperdinck,31,A Man Without Love (Quando M'innamoro),9,1968-06-29
23431,Smokey Robinson & The Miracles,32,Yester Love,8,1968-06-29
23432,Johnny Cash,33,Folsom Prison Blues,12,1968-06-29
23433,Eric Burdon & The Animals,34,Sky Pilot (Part One),14,1968-06-29
23434,Spanky And Our Gang,35,Like To Get To Know You,11,1968-06-29
23435,The Status Quo,36,Pictures Of Matchstick Men,17,1968-06-29
23436,Donovan,37,Hurdy Gurdy Man,12,1968-06-29
23437,Four Jacks And A Jill,38,Master Jack,14,1968-06-29
23438,The Association,39,Time For Livin',8,1968-06-29
23439,Nancy Wilson,40,"Face It Girl, It's Over",14,1968-06-29
23440,Bobby Goldsboro,41,Honey,15,1968-06-29
23441,Diana Ross & The Supremes,42,Some Things You Never Get Used To,7,1968-06-29
23442,Stevie Wonder,43,Shoo-Be-Doo-Be-Doo-Da-Day,13,1968-06-29
23443,Dionne Warwick,44,Do You Know The Way To San JosÃÂ©,12,1968-06-29
23444,The Vogues,45,"Turn Around, Look At Me",15,1968-06-29
23445,Wilson Pickett,46,I'm A Midnight Mover,7,1968-06-29
23446,Peaches & Herb,47,United,8,1968-06-29
23447,Sam & Dave,48,You Don't Know What You Mean To Me,8,1968-06-29
23448,Four Tops,49,If I Were A Carpenter,10,1968-06-29
23449,Gladys Knight And The Pips,50,It Should Have Been Me,8,1968-06-29
23450,Los Bravos,51,Bring A Little Lovin',7,1968-06-29
23451,James Brown And The Famous Flames,52,America Is My Home - Pt. 1,7,1968-06-29
23452,Ray Charles,53,Eleanor Rigby,10,1968-06-29
23453,The Monkees,54,It's Nice To Be With You,7,1968-06-29
23454,The Mamas & The Papas,55,Safe In My Garden,6,1968-06-29
23455,The Magistrates,56,Here Come The Judge,7,1968-06-29
23456,The Buckinghams,57,Back In Love Again,6,1968-06-29
23457,Peggy Scott & Jo Jo Benson,58,Lover's Holiday,12,1968-06-29
23458,Pigmeat Markham,59,Here Comes The Judge,8,1968-06-29
23459,Paul Revere & The Raiders Featuring Mark Lindsay,60,Don't Take It So Hard,9,1968-06-29
23460,Robert John,61,If You Don't Want My Love,12,1968-06-29
23461,Aretha Franklin,62,You Send Me,6,1968-06-29
23462,Arthur Conley,63,People Sure Act Funny,5,1968-06-29
23463,The Marvelettes,64,Here I Am Baby,9,1968-06-29
23464,Mary Wells,65,The Doctor,8,1968-06-29
23465,The New Colony Six,66,Can't You See Me Cry,8,1968-06-29
23466,Ronnie Dove,67,Mountain Of Love,6,1968-06-29
23467,The Turtles,68,The Story Of Rock And Roll,6,1968-06-29
23468,The Tams,69,"Be Young, Be Foolish, Be Happy",6,1968-06-29
23469,Mason Williams,70,Classical Gas,14,1968-06-29
23470,Dionne Warwick,71,Let Me Be Lonely,5,1968-06-29
23471,The Peppermint Trolley Company,72,Baby You Come Rollin' Across My Mind,10,1968-06-29
23472,The Fantastic Johnny C,73,Hitch It To The Horse,9,1968-06-29
23473,Radiants,74,Hold On,9,1968-06-29
23474,Andy Williams,75,Sweet Memories,6,1968-06-29
23475,Tammy Wynette,76,D-I-V-O-R-C-E,6,1968-06-29
23476,The Mills Brothers,77,My Shy Violet,7,1968-06-29
23477,Eddie Harris,78,Listen Here,13,1968-06-29
23478,Ray Charles,79,Understanding,12,1968-06-29
23479,Eddy Arnold,80,It's Over,7,1968-06-29
23480,Etta James,81,I Got You Babe,7,1968-06-29
23481,Billy Vera,82,With Pen In Hand,6,1968-06-29
23482,The Irish Rovers,83,(The Puppet Song) Whiskey On A Sunday,7,1968-06-29
23483,Bill Black's Combo,84,Turn On Your Love Light,6,1968-06-29
23484,Elvis Presley With The Jordanaires,85,"Your Time Hasn't Come Yet, Baby",7,1968-06-29
23485,B.J. Thomas,86,The Eyes Of A New York Woman,14,1968-06-29
23486,"Hugo Montenegro, His Orchestra And Chorus",87,Hang 'Em High,5,1968-06-29
23487,Barbara Greene,88,Young Boy,6,1968-06-29
23488,The Dells,89,Stay In My Corner,13,1968-06-29
23489,Bobby Goldsboro,90,Autumn Of My Life,9,1968-06-29
23490,Gary Lewis And The Playboys,91,Sealed With A Kiss,14,1968-06-29
23491,Elvis Presley With The Jordanaires,92,Let Yourself Go,5,1968-06-29
23492,Martha Reeves & The Vandellas,93,Forget Me Not,3,1968-06-29
23493,Wayne Newton,94,Dreams Of The Everyday Housewife,7,1968-06-29
23494,The O'Jays,95,Look Over Your Shoulder,5,1968-06-29
23495,The Show Stoppers,96,Ain't Nothin' But A House Party,5,1968-06-29
23496,Little Carl Carlton,97,Competition Ain't Nothin',8,1968-06-29
23497,The Amboy Dukes,98,Journey To The Center Of The Mind,12,1968-06-29
23498,The Cryan' Shames,99,Young Birds Fly,2,1968-06-29
23499,Gene And Debbe,100,Lovin' Season,4,1968-06-29
23500,Herb Alpert,1,This Guy's In Love With You,14,1968-07-06
23501,Cliff Nobles & Co.,2,The Horse,14,1968-07-06
23502,The Rolling Stones,3,Jumpin' Jack Flash,12,1968-07-06
23503,Sergio Mendes & Brasil '66,4,The Look Of Love,14,1968-07-06
23504,Hugh Masekela,5,Grazing In The Grass,12,1968-07-06
23505,Gary Puckett And The Union Gap,6,Lady Willpower,13,1968-07-06
23506,Merrilee Rush & The Turnabouts,7,Angel Of The Morning,16,1968-07-06
23507,Shorty Long,8,Here Comes The Judge,11,1968-07-06
23508,Richard Harris,9,MacArthur Park,13,1968-07-06
23509,Friend And Lover,10,Reach Out Of The Darkness,14,1968-07-06
23510,Ohio Express,11,Yummy Yummy Yummy,14,1968-07-06
23511,Tommy James And The Shondells,12,Mony Mony,17,1968-07-06
23512,Simon & Garfunkel,13,Mrs. Robinson,13,1968-07-06
23513,Aretha Franklin,14,Think,10,1968-07-06
23514,The Cowsills,15,Indian Lake,13,1968-07-06
23515,People,16,I Love You,18,1968-07-06
23516,The 5th Dimension,17,Stoned Soul Picnic,16,1968-07-06
23517,James Brown And The Famous Flames,18,Licking Stick - Licking Stick (Part 1),8,1968-07-06
23518,The Monkees,19,D. W. Washburn,7,1968-07-06
23519,Jerry Butler,20,Never Give You Up,14,1968-07-06
23520,Andy Kim,21,How'd We Ever Get This Way,12,1968-07-06
23521,Gene Pitney,22,She's A Heartbreaker,13,1968-07-06
23522,Donovan,23,Hurdy Gurdy Man,12,1968-07-06
23523,Pigmeat Markham,24,Here Comes The Judge,8,1968-07-06
23524,Joe Simon,25,(You Keep Me) Hangin' On,15,1968-07-06
23525,The Box Tops,26,Choo Choo Train,8,1968-07-06
23526,Tiny Tim,27,Tip-Toe Thru' The Tulips With Me,9,1968-07-06
23527,"Hugo Montenegro, His Orchestra And Chorus",28,"The Good, The Bad And The Ugly",22,1968-07-06
23528,Eric Burdon & The Animals,29,Sky Pilot (Part One),14,1968-07-06
23529,Diana Ross & The Supremes,30,Some Things You Never Get Used To,7,1968-07-06
23530,Smokey Robinson & The Miracles,31,Yester Love,8,1968-07-06
23531,Johnny Cash,32,Folsom Prison Blues,12,1968-07-06
23532,Archie Bell & The Drells,33,Tighten Up,15,1968-07-06
23533,The Status Quo,34,Pictures Of Matchstick Men,17,1968-07-06
23534,The Temptations,35,I Could Never Love Another (After Loving You),10,1968-07-06
23535,Marvin Gaye & Tammi Terrell,36,Ain't Nothing Like The Real Thing,13,1968-07-06
23536,Wilson Pickett,37,I'm A Midnight Mover,7,1968-07-06
23537,Nancy Wilson,38,"Face It Girl, It's Over",14,1968-07-06
23538,Peggy Scott & Jo Jo Benson,39,Lover's Holiday,12,1968-07-06
23539,Gladys Knight And The Pips,40,It Should Have Been Me,8,1968-07-06
23540,Engelbert Humperdinck,41,A Man Without Love (Quando M'innamoro),9,1968-07-06
23541,Paul Revere & The Raiders Featuring Mark Lindsay,42,Don't Take It So Hard,9,1968-07-06
23542,The Vogues,43,"Turn Around, Look At Me",15,1968-07-06
23543,Bobby Goldsboro,44,Autumn Of My Life,9,1968-07-06
23544,Ray Charles,45,Eleanor Rigby,10,1968-07-06
23545,The Rascals,46,A Beautiful Morning,13,1968-07-06
23546,The Dells,47,Stay In My Corner,13,1968-07-06
23547,Sam & Dave,48,You Don't Know What You Mean To Me,8,1968-07-06
23548,The Marvelettes,49,Here I Am Baby,9,1968-07-06
23549,The Association,50,Time For Livin',8,1968-07-06
23550,The Monkees,51,It's Nice To Be With You,7,1968-07-06
23551,Cream,52,Sunshine Of Your Love,26,1968-07-06
23552,The Mamas & The Papas,53,Safe In My Garden,6,1968-07-06
23553,The Magistrates,54,Here Come The Judge,7,1968-07-06
23554,Mason Williams,55,Classical Gas,14,1968-07-06
23555,Peaches & Herb,56,United,8,1968-07-06
23556,The Buckinghams,57,Back In Love Again,6,1968-07-06
23557,Arthur Conley,58,People Sure Act Funny,5,1968-07-06
23558,James Brown And The Famous Flames,59,America Is My Home - Pt. 1,7,1968-07-06
23559,Los Bravos,60,Bring A Little Lovin',7,1968-07-06
23560,Aretha Franklin,61,You Send Me,6,1968-07-06
23561,The New Colony Six,62,Can't You See Me Cry,8,1968-07-06
23562,The Turtles,63,The Story Of Rock And Roll,6,1968-07-06
23563,The Amboy Dukes,64,Journey To The Center Of The Mind,12,1968-07-06
23564,The Peppermint Trolley Company,65,Baby You Come Rollin' Across My Mind,10,1968-07-06
23565,The Tams,66,"Be Young, Be Foolish, Be Happy",6,1968-07-06
23566,Ronnie Dove,67,Mountain Of Love,6,1968-07-06
23567,Mary Wells,68,The Doctor,8,1968-07-06
23568,Ray Charles,69,Understanding,12,1968-07-06
23569,Billy Vera,70,With Pen In Hand,6,1968-07-06
23570,Dionne Warwick,71,Let Me Be Lonely,5,1968-07-06
23571,The Fantastic Johnny C,72,Hitch It To The Horse,9,1968-07-06
23572,Glen Campbell,73,Dreams Of The Everyday Housewife,8,1968-07-06
23573,Radiants,74,Hold On,9,1968-07-06
23574,Andy Williams,75,Sweet Memories,6,1968-07-06
23575,Tammy Wynette,76,D-I-V-O-R-C-E,6,1968-07-06
23576,The Doors,77,"Hello, I Love You",12,1968-07-06
23577,Eddie Harris,78,Listen Here,13,1968-07-06
23578,Gary Lewis And The Playboys,79,Sealed With A Kiss,14,1968-07-06
23579,The Irish Rovers,80,(The Puppet Song) Whiskey On A Sunday,7,1968-07-06
23580,Elvis Presley With The Jordanaires,81,Let Yourself Go,5,1968-07-06
23581,Elvis Presley With The Jordanaires,82,"Your Time Hasn't Come Yet, Baby",7,1968-07-06
23582,Bill Black's Combo,83,Turn On Your Love Light,6,1968-07-06
23583,Gene And Debbe,84,Lovin' Season,4,1968-07-06
23584,B.J. Thomas,85,The Eyes Of A New York Woman,14,1968-07-06
23585,"Hugo Montenegro, His Orchestra And Chorus",86,Hang 'Em High,5,1968-07-06
23586,Barbara Greene,87,Young Boy,6,1968-07-06
23587,Tommy Boyce & Bobby Hart,88,Alice Long (You're Still My Favorite Girlfriend),10,1968-07-06
23588,Wayne Newton,89,Dreams Of The Everyday Housewife,7,1968-07-06
23589,The O'Jays,90,Look Over Your Shoulder,5,1968-07-06
23590,Otis Redding,91,Amen,5,1968-07-06
23591,Wes Montgomery,92,Georgia On My Mind,3,1968-07-06
23592,The Sweet Inspirations,93,To Love Somebody,4,1968-07-06
23593,Mama Cass With The Mamas & The Papas,94,Dream A Little Dream Of Me,11,1968-07-06
23594,Jerry Lee Lewis,95,What's Made Milwaukee Famous (Has Made A Loser Out Of Me),3,1968-07-06
23595,Little Carl Carlton,96,Competition Ain't Nothin',8,1968-07-06
23596,Blue Cheer,97,Just A Little Bit,4,1968-07-06
23597,Patti Page,98,Little Green Apples,2,1968-07-06
23598,The Intruders,99,(Love Is Like A) Baseball Game,9,1968-07-06
23599,Freddie Hughes,100,Send My Baby Back,6,1968-07-06
23600,Herb Alpert,1,This Guy's In Love With You,14,1968-07-13
23601,Cliff Nobles & Co.,2,The Horse,14,1968-07-13
23602,The Rolling Stones,3,Jumpin' Jack Flash,12,1968-07-13
23603,Gary Puckett And The Union Gap,4,Lady Willpower,13,1968-07-13
23604,Hugh Masekela,5,Grazing In The Grass,12,1968-07-13
23605,Sergio Mendes & Brasil '66,6,The Look Of Love,14,1968-07-13
23606,Merrilee Rush & The Turnabouts,7,Angel Of The Morning,16,1968-07-13
23607,The 5th Dimension,8,Stoned Soul Picnic,16,1968-07-13
23608,Shorty Long,9,Here Comes The Judge,11,1968-07-13
23609,The Cowsills,10,Indian Lake,13,1968-07-13
23610,Friend And Lover,11,Reach Out Of The Darkness,14,1968-07-13
23611,Donovan,12,Hurdy Gurdy Man,12,1968-07-13
23612,Tommy James And The Shondells,13,Mony Mony,17,1968-07-13
23613,Richard Harris,14,MacArthur Park,13,1968-07-13
23614,Ohio Express,15,Yummy Yummy Yummy,14,1968-07-13
23615,Simon & Garfunkel,16,Mrs. Robinson,13,1968-07-13
23616,People,17,I Love You,18,1968-07-13
23617,Aretha Franklin,18,Think,10,1968-07-13
23618,The Monkees,19,D. W. Washburn,7,1968-07-13
23619,Gene Pitney,20,She's A Heartbreaker,13,1968-07-13
23620,The Vogues,21,"Turn Around, Look At Me",15,1968-07-13
23621,The Doors,22,"Hello, I Love You",12,1968-07-13
23622,Jerry Butler,23,Never Give You Up,14,1968-07-13
23623,Pigmeat Markham,24,Here Comes The Judge,8,1968-07-13
23624,Joe Simon,25,(You Keep Me) Hangin' On,15,1968-07-13
23625,The Box Tops,26,Choo Choo Train,8,1968-07-13
23626,The Status Quo,27,Pictures Of Matchstick Men,17,1968-07-13
23627,Eric Burdon & The Animals,28,Sky Pilot (Part One),14,1968-07-13
23628,Mason Williams,29,Classical Gas,14,1968-07-13
23629,Diana Ross & The Supremes,30,Some Things You Never Get Used To,7,1968-07-13
23630,Andy Kim,31,How'd We Ever Get This Way,12,1968-07-13
23631,Johnny Cash,32,Folsom Prison Blues,12,1968-07-13
23632,James Brown And The Famous Flames,33,Licking Stick - Licking Stick (Part 1),8,1968-07-13
23633,Tiny Tim,34,Tip-Toe Thru' The Tulips With Me,9,1968-07-13
23634,Bobby Goldsboro,35,Autumn Of My Life,9,1968-07-13
23635,Wilson Pickett,36,I'm A Midnight Mover,7,1968-07-13
23636,Nancy Wilson,37,"Face It Girl, It's Over",14,1968-07-13
23637,Paul Revere & The Raiders Featuring Mark Lindsay,38,Don't Take It So Hard,9,1968-07-13
23638,Peggy Scott & Jo Jo Benson,39,Lover's Holiday,12,1968-07-13
23639,Smokey Robinson & The Miracles,40,Yester Love,8,1968-07-13
23640,Cream,41,Sunshine Of Your Love,26,1968-07-13
23641,Gladys Knight And The Pips,42,It Should Have Been Me,8,1968-07-13
23642,"Hugo Montenegro, His Orchestra And Chorus",43,"The Good, The Bad And The Ugly",22,1968-07-13
23643,Ray Charles,44,Eleanor Rigby,10,1968-07-13
23644,Glen Campbell,45,Dreams Of The Everyday Housewife,8,1968-07-13
23645,Gary Lewis And The Playboys,46,Sealed With A Kiss,14,1968-07-13
23646,The Dells,47,Stay In My Corner,13,1968-07-13
23647,The Turtles,48,The Story Of Rock And Roll,6,1968-07-13
23648,The Marvelettes,49,Here I Am Baby,9,1968-07-13
23649,The Amboy Dukes,50,Journey To The Center Of The Mind,12,1968-07-13
23650,The Monkees,51,It's Nice To Be With You,7,1968-07-13
23651,Sam & Dave,52,You Don't Know What You Mean To Me,8,1968-07-13
23652,Mama Cass With The Mamas & The Papas,53,Dream A Little Dream Of Me,11,1968-07-13
23653,The New Colony Six,54,Can't You See Me Cry,8,1968-07-13
23654,B.J. Thomas,55,The Eyes Of A New York Woman,14,1968-07-13
23655,Aretha Franklin,56,You Send Me,6,1968-07-13
23656,The Fantastic Johnny C,57,Hitch It To The Horse,9,1968-07-13
23657,Arthur Conley,58,People Sure Act Funny,5,1968-07-13
23658,The Mamas & The Papas,59,Safe In My Garden,6,1968-07-13
23659,The Peppermint Trolley Company,60,Baby You Come Rollin' Across My Mind,10,1968-07-13
23660,The Magistrates,61,Here Come The Judge,7,1968-07-13
23661,Otis Redding,62,Amen,5,1968-07-13
23662,Billy Vera,63,With Pen In Hand,6,1968-07-13
23663,Tammy Wynette,64,D-I-V-O-R-C-E,6,1968-07-13
23664,The Tams,65,"Be Young, Be Foolish, Be Happy",6,1968-07-13
23665,Tommy Boyce & Bobby Hart,66,Alice Long (You're Still My Favorite Girlfriend),10,1968-07-13
23666,Ronnie Dove,67,Mountain Of Love,6,1968-07-13
23667,The Buckinghams,68,Back In Love Again,6,1968-07-13
23668,Ray Charles,69,Understanding,12,1968-07-13
23669,Steppenwolf,70,Born To Be Wild,13,1968-07-13
23670,Elvis Presley With The Jordanaires,71,Let Yourself Go,5,1968-07-13
23671,Elvis Presley With The Jordanaires,72,"Your Time Hasn't Come Yet, Baby",7,1968-07-13
23672,The Vanilla Fudge,73,You Keep Me Hangin' On,17,1968-07-13
23673,Radiants,74,Hold On,9,1968-07-13
23674,The Irish Rovers,75,(The Puppet Song) Whiskey On A Sunday,7,1968-07-13
23675,Wayne Newton,76,Dreams Of The Everyday Housewife,7,1968-07-13
23676,Roger Williams,77,The Impossible Dream,7,1968-07-13
23677,The Intruders,78,(Love Is Like A) Baseball Game,9,1968-07-13
23678,Andy Williams,79,Sweet Memories,6,1968-07-13
23679,Eddie Harris,80,Listen Here,13,1968-07-13
23680,Gene And Debbe,81,Lovin' Season,4,1968-07-13
23681,"Hugo Montenegro, His Orchestra And Chorus",82,Hang 'Em High,5,1968-07-13
23682,Bill Black's Combo,83,Turn On Your Love Light,6,1968-07-13
23683,Booker T. & The MG's,84,Soul-Limbo,10,1968-07-13
23684,Little Carl Carlton,85,Competition Ain't Nothin',8,1968-07-13
23685,Willie Mitchell,86,Prayer Meetin',7,1968-07-13
23686,Barbara Greene,87,Young Boy,6,1968-07-13
23687,Otis Redding,88,Hard To Handle,7,1968-07-13
23688,The Royal Guardsmen,89,Snoopy For President,2,1968-07-13
23689,The O'Jays,90,Look Over Your Shoulder,5,1968-07-13
23690,The Sweet Inspirations,91,To Love Somebody,4,1968-07-13
23691,Wes Montgomery,92,Georgia On My Mind,3,1968-07-13
23692,Blue Cheer,93,Just A Little Bit,4,1968-07-13
23693,Eternity's Children,94,Mrs. Bluebird,7,1968-07-13
23694,Jerry Lee Lewis,95,What's Made Milwaukee Famous (Has Made A Loser Out Of Me),3,1968-07-13
23695,Patti Page,96,Little Green Apples,2,1968-07-13
23696,Clarence Carter,97,Slip Away,16,1968-07-13
23697,Barbara Acklin,98,Love Makes A Woman,12,1968-07-13
23698,Neil Diamond,99,Two-Bit Manchild,6,1968-07-13
23699,Freddie Hughes,100,Send My Baby Back,6,1968-07-13
23700,Hugh Masekela,1,Grazing In The Grass,12,1968-07-20
23701,Gary Puckett And The Union Gap,2,Lady Willpower,13,1968-07-20
23702,The Rolling Stones,3,Jumpin' Jack Flash,12,1968-07-20
23703,Herb Alpert,4,This Guy's In Love With You,14,1968-07-20
23704,Cliff Nobles & Co.,5,The Horse,14,1968-07-20
23705,The 5th Dimension,6,Stoned Soul Picnic,16,1968-07-20
23706,Donovan,7,Hurdy Gurdy Man,12,1968-07-20
23707,Mason Williams,8,Classical Gas,14,1968-07-20
23708,The Doors,9,"Hello, I Love You",12,1968-07-20
23709,The Cowsills,10,Indian Lake,13,1968-07-20
23710,Friend And Lover,11,Reach Out Of The Darkness,14,1968-07-20
23711,Shorty Long,12,Here Comes The Judge,11,1968-07-20
23712,Merrilee Rush & The Turnabouts,13,Angel Of The Morning,16,1968-07-20
23713,The Vogues,14,"Turn Around, Look At Me",15,1968-07-20
23714,Sergio Mendes & Brasil '66,15,The Look Of Love,14,1968-07-20
23715,Gene Pitney,16,She's A Heartbreaker,13,1968-07-20
23716,Richard Harris,17,MacArthur Park,13,1968-07-20
23717,Ohio Express,18,Yummy Yummy Yummy,14,1968-07-20
23718,People,19,I Love You,18,1968-07-20
23719,Eric Burdon & The Animals,20,Sky Pilot (Part One),14,1968-07-20
23720,The Status Quo,21,Pictures Of Matchstick Men,17,1968-07-20
23721,Cream,22,Sunshine Of Your Love,26,1968-07-20
23722,Pigmeat Markham,23,Here Comes The Judge,8,1968-07-20
23723,Tommy James And The Shondells,24,Mony Mony,17,1968-07-20
23724,Jerry Butler,25,Never Give You Up,14,1968-07-20
23725,Bobby Goldsboro,26,Autumn Of My Life,9,1968-07-20
23726,Aretha Franklin,27,Think,10,1968-07-20
23727,Wilson Pickett,28,I'm A Midnight Mover,7,1968-07-20
23728,Simon & Garfunkel,29,Mrs. Robinson,13,1968-07-20
23729,Diana Ross & The Supremes,30,Some Things You Never Get Used To,7,1968-07-20
23730,The Monkees,31,D. W. Washburn,7,1968-07-20
23731,Johnny Cash,32,Folsom Prison Blues,12,1968-07-20
23732,Peggy Scott & Jo Jo Benson,33,Lover's Holiday,12,1968-07-20
23733,Paul Revere & The Raiders Featuring Mark Lindsay,34,Don't Take It So Hard,9,1968-07-20
23734,Joe Simon,35,(You Keep Me) Hangin' On,15,1968-07-20
23735,The Dells,36,Stay In My Corner,13,1968-07-20
23736,Nancy Wilson,37,"Face It Girl, It's Over",14,1968-07-20
23737,Andy Kim,38,How'd We Ever Get This Way,12,1968-07-20
23738,Steppenwolf,39,Born To Be Wild,13,1968-07-20
